date,year,month,kecamatan,kasus_dbd,kasus_dbd_lag1m,kasus_dbd_lag2m,kasus_dbd_lag3m,kasus_dbd_lag6m,kasus_dbd_roll4m,incidence_rate,populasi,suhu_avg_c,curah_hujan_mm,kelembaban_pct,gt_dbd_nasional,gt_weight,musim_hujan
2016-01-01,2016,1,ANDIR,13.2468,,,,,13.2468,13.434888438133877,98600,22.434516129032257,396.61,88.54548387096774,25.6,0.124969,1
2016-02-01,2016,2,ANDIR,17.7227,13.2468,,,,15.48475,17.974340770791077,98600,22.00206896551724,468.95,90.91551724137932,34.25,0.167196,1
2016-03-01,2016,3,ANDIR,13.4537,17.7227,13.2468,,,14.807733333333333,13.6447261663286,98600,22.740322580645163,477.1,90.77612903225807,26.0,0.126922,1
2016-04-01,2016,4,ANDIR,12.1601,13.4537,17.7227,13.2468,,14.145825,12.332758620689656,98600,22.466,489.21,91.35133333333333,23.5,0.114718,0
2016-05-01,2016,5,ANDIR,8.5897,12.1601,13.4537,17.7227,,12.98155,8.711663286004057,98600,22.4,251.60999999999999,90.83612903225807,16.6,0.081035,0
2016-06-01,2016,6,ANDIR,6.0801,8.5897,12.1601,13.4537,,10.070900000000002,6.1664300202839755,98600,21.715333333333334,176.73,88.34833333333333,11.75,0.057359,0
2016-07-01,2016,7,ANDIR,5.692,6.0801,8.5897,12.1601,13.2468,8.130475,5.772819472616633,98600,21.557419354838707,300.44,89.96677419354839,11.0,0.053698,0
2016-08-01,2016,8,ANDIR,5.8213,5.692,6.0801,8.5897,17.7227,6.545775,5.903955375253549,98600,21.18967741935484,190.43,88.61,11.25,0.054918,0
2016-09-01,2016,9,ANDIR,5.8213,5.8213,5.692,6.0801,13.4537,5.853675000000001,5.903955375253549,98600,21.71033333333333,438.58,89.848,11.25,0.054918,0
2016-10-01,2016,10,ANDIR,5.899,5.8213,5.8213,5.692,12.1601,5.8084,5.982758620689655,98600,21.464193548387097,440.99,91.19935483870967,11.4,0.05565,1
2016-11-01,2016,11,ANDIR,5.9507,5.899,5.8213,5.8213,8.5897,5.873075,6.035192697768763,98600,21.88,430.71999999999997,90.57866666666668,11.5,0.056139,1
2016-12-01,2016,12,ANDIR,5.5626,5.9507,5.899,5.8213,6.0801,5.8084,5.64158215010142,98600,21.13935483870968,188.26,90.15129032258065,10.75,0.052477,1
2017-01-01,2017,1,ANDIR,4.0422,5.5626,5.9507,5.899,5.692,5.363625000000001,4.0995943204868155,98600,21.030645161290323,295.58,90.34,11.6,0.122492,1
2017-02-01,2017,2,ANDIR,3.3976,4.0422,5.5626,5.9507,5.8213,4.738275000000001,3.445841784989858,98600,21.141428571428573,478.78000000000003,91.32892857142858,9.75,0.102957,1
2017-03-01,2017,3,ANDIR,3.2233,3.3976,4.0422,5.5626,5.8213,4.056425,3.2690669371196757,98600,21.510967741935485,336.51,89.8583870967742,9.25,0.097677,1
2017-04-01,2017,4,ANDIR,2.7181,3.2233,3.3976,4.0422,5.899,3.3453,2.756693711967546,98600,21.872666666666664,371.34,90.94333333333334,7.8,0.082365,0
2017-05-01,2017,5,ANDIR,2.4393,2.7181,3.2233,3.3976,5.9507,2.944575,2.47393509127789,98600,21.852903225806454,209.88,90.35548387096775,7.0,0.073918,0
2017-06-01,2017,6,ANDIR,1.9166,2.4393,2.7181,3.2233,5.5626,2.574325,1.943813387423935,98600,21.282666666666668,155.11,90.05266666666667,5.5,0.058078,0
2017-07-01,2017,7,ANDIR,2.0211,1.9166,2.4393,2.7181,4.0422,2.273775,2.0497971602434077,98600,20.681612903225805,89.05,89.09967741935485,5.8,0.061246,0
2017-08-01,2017,8,ANDIR,2.1779,2.0211,1.9166,2.4393,3.3976,2.138725,2.208823529411765,98600,20.58225806451613,29.75,86.16129032258064,6.25,0.065998,0
2017-09-01,2017,9,ANDIR,2.3522,2.1779,2.0211,1.9166,3.2233,2.11695,2.3855983772819473,98600,21.449666666666666,108.77000000000001,84.02466666666668,6.75,0.071278,0
2017-10-01,2017,10,ANDIR,2.9968,2.3522,2.1779,2.0211,2.7181,2.387,3.0393509127789047,98600,22.156451612903226,516.17,87.77129032258064,8.6,0.090813,1
2017-11-01,2017,11,ANDIR,3.1362,2.9968,2.3522,2.1779,2.4393,2.665775,3.1807302231237324,98600,21.842666666666666,451.08,89.273,9.0,0.095037,1
2017-12-01,2017,12,ANDIR,2.5787,3.1362,2.9968,2.3522,1.9166,2.7659749999999996,2.6153144016227183,98600,21.30516129032258,259.67,89.88935483870968,7.4,0.078141,1
2018-01-01,2018,1,ANDIR,5.3615,2.5787,3.1362,2.9968,2.0211,3.5183000000000004,5.43762677484787,98600,20.889032258064514,262.41,91.22258064516129,7.25,0.080022,1
2018-02-01,2018,2,ANDIR,5.1766,5.3615,2.5787,3.1362,2.1779,4.06325,5.250101419878296,98600,21.117142857142856,517.61,91.1925,7.0,0.077263,1
2018-03-01,2018,3,ANDIR,5.1766,5.1766,5.3615,2.5787,2.3522,4.57335,5.250101419878296,98600,21.65741935483871,387.92,89.85741935483871,7.0,0.077263,1
2018-04-01,2018,4,ANDIR,5.1766,5.1766,5.1766,5.3615,2.9968,5.222825,5.250101419878296,98600,21.947,262.95,89.76933333333334,7.0,0.077263,0
2018-05-01,2018,5,ANDIR,4.9917,5.1766,5.1766,5.1766,3.1362,5.130375,5.062576064908722,98600,21.772903225806452,120.22,88.87645161290322,6.75,0.074503,0
2018-06-01,2018,6,ANDIR,4.0673,4.9917,5.1766,5.1766,2.5787,4.85305,4.125050709939148,98600,21.314333333333334,91.12,88.38766666666668,5.5,0.060706,0
2018-07-01,2018,7,ANDIR,4.4371,4.0673,4.9917,5.1766,5.3615,4.668175,4.5001014198782965,98600,19.885161290322582,5.63,85.66225806451614,6.0,0.066225,0
2018-08-01,2018,8,ANDIR,4.8068,4.4371,4.0673,4.9917,5.1766,4.575725,4.875050709939148,98600,20.21161290322581,32.75,84.21451612903226,6.5,0.071744,0
2018-09-01,2018,9,ANDIR,5.1766,4.8068,4.4371,4.0673,5.1766,4.62195,5.250101419878296,98600,21.037,96.61,83.175,7.0,0.077263,0
2018-10-01,2018,10,ANDIR,6.101,5.1766,4.8068,4.4371,5.1766,5.130375,6.18762677484787,98600,22.358709677419355,189.07,82.22838709677418,8.25,0.09106,1
2018-11-01,2018,11,ANDIR,7.2103,6.101,5.1766,4.8068,4.9917,5.823675,7.312677484787018,98600,22.28033333333333,425.59000000000003,87.10799999999999,9.75,0.107616,1
