kecamatan,populasi,luas_km2,kepadatan_jiwa_km2
ANDIR,98600,3.71,26576
ANTAPANI,81600,3.79,21530
ARCAMANIK,78200,6.07,12883
ASTANA ANYAR,74300,2.89,25709
BABAKAN CIPARAY,139100,7.45,18671
BANDUNG KIDUL,61200,6.06,10099
BANDUNG KULON,138600,6.46,21455
BANDUNG WETAN,29800,3.39,8790
BATUNUNGGAL,116900,5.03,23240
BOJONGLOA KALER,119500,3.03,39438
BOJONGLOA KIDUL,84600,6.26,13514
BUAHBATU,100800,7.93,12711
CIBEUNYING KALER,68800,4.5,15288
CIBEUNYING KIDUL,108300,5.25,20628
CIBIRU,74500,6.32,11787
CICENDO,96500,6.86,14067
CIDADAP,55100,6.11,9018
CINAMBO,25400,3.84,6614
COBLONG,106600,7.35,14503
GEDEBAGE,41200,9.58,4300
KIARACONDONG,127700,6.12,20866
LENGKONG,69300,5.9,11745
MANDALAJATI,73700,7.17,10278
PANYILEUKAN,40100,5.1,7862
RANCASARI,84600,7.33,11541
REGOL,79300,4.3,18441
SUKAJADI,104500,4.3,24302
SUKASARI,78900,6.27,12583
SUMUR BANDUNG,34500,3.4,10147
UJUNGBERUNG,88300,6.4,13796
