id,provinsi,jumlah_penduduk,jumlah_kasus,incidence_rate,meninggal,cfr_persen,halaman_pdf
1,Aceh,5669606,345,60.85,21,0.6,8
2,Sumatera Utara,15405644,9366,60.8,58,0.6,8
3,Sumatera Barat,5802172,2823,48.65,12,0.4,8
4,Riau,7410230,3206,43.26,19,0.6,8
5,Jambi,3748137,2321,61.92,3,0.1,8
6,Sumatera Selatan,9000101,6263,69.59,37,0.6,8
7,Bengkulu,2080246,3103,149.17,16,0.5,8
8,Lampung,8824030,9068,102.76,30,0.3,8
9,Kepulauan Bangka Belitung,1542390,1914,124.09,23,1.2,8
10,Kepulauan Riau,2594369,1685,64.95,16,0.9,8
11,DKI Jakarta,10835148,13276,122.53,30,0.2,8
12,Jawa Barat,51701460,61423,118.8,339,0.6,8
13,Jawa Tengah,35420092,17636,49.79,257,1.5,8
14,DI Yogyakarta,4126444,4027,97.59,10,0.2,8
15,Jawa Timur,40703833,32086,78.83,264,0.8,8
16,Banten,13600575,13727,100.93,48,0.3,8
17,Bali,4622547,1557,336.83,25,0.2,8
18,Nusa Tenggara Barat,5511473,4218,76.53,7,0.2,8
19,Nusa Tenggara Timur,5807691,3987,68.65,29,0.7,8
20,Kalimantan Barat,5332218,2529,47.43,23,0.9,8
21,Kalimantan Tengah,2827450,4015,142.0,22,0.5,8
22,Kalimantan Selatan,4469992,3232,72.3,16,0.5,8
23,Kalimantan Timur,3837948,10902,284.06,20,0.2,8
24,Kalimantan Utara,760222,6440,84.71,7,1.1,8
25,Sulawesi Utara,2581013,4826,186.98,29,0.6,8
26,Sulawesi Tengah,3236561,2473,76.41,10,0.4,8
27,Sulawesi Selatan,9150274,6043,66.04,27,0.4,8
28,Sulawesi Tenggara,2862285,4867,170.04,24,0.5,8
29,Gorontalo,1223639,23190,189.52,23,1.0,8
30,Sulawesi Barat,1451058,2491,171.67,4,0.2,8
31,Maluku,1859254,3980,21.41,4,1.0,8
32,Maluku Utara,1318213,1089,82.61,6,0.6,8
33,Papua,888142,4810,54.16,0,0.0,8
34,Papua Barat,491895,3250,66.07,2,0.6,8
35,Papua Selatan,515717,0,0.0,0,0.0,8
36,Papua Tengah,1017614,9760,95.91,0,0.0,8
