geoName,coordinates,demam berdarah
Arjawinangun,"{'lat': -6.6403371, 'lng': 108.4023837}",0
Baleendah,"{'lat': -7.0146813, 'lng': 107.6392892}",0
Balongan,"{'lat': -6.3971917, 'lng': 108.3682501}",0
Bandung,"{'lat': -6.9174639, 'lng': 107.6191228}",0
Banjar,"{'lat': -7.3706874, 'lng': 108.5342487}",0
Banjaran,"{'lat': -7.0555388, 'lng': 107.5767035}",0
Banjarsari,"{'lat': -7.4965142, 'lng': 108.6056873}",0
Batujajar,"{'lat': -6.9153153, 'lng': 107.4977752}",0
Bekasi,"{'lat': -6.2474466, 'lng': 107.1484521}",0
Bogor,"{'lat': -6.5971469, 'lng': 106.8060388}",0
Bojong Gede,"{'lat': -6.4792109, 'lng': 106.8001396}",0
Bojongsoang,"{'lat': -7.0037585, 'lng': 107.6478182}",0
Cangkuang,"{'lat': -7.0478833, 'lng': 107.5438798}",0
Caringin,"{'lat': -6.7128814, 'lng': 106.838158}",0
Ciamis,"{'lat': -7.3298676, 'lng': 108.3322547}",0
Ciampea,"{'lat': -6.5753118, 'lng': 106.6939625}",0
Cianjur,"{'lat': -6.8168237, 'lng': 107.1425442}",0
Cibinong,"{'lat': -6.4901067, 'lng': 106.8306951}",0
Cicalengka,"{'lat': -6.9859408, 'lng': 107.8401225}",0
Cigombong,"{'lat': -6.7311989, 'lng': 106.797352}",0
Cigugur,"{'lat': -6.9726589, 'lng': 108.4454089}",0
Cihampelas,"{'lat': -6.9479393, 'lng': 107.497265}",0
Cijeruk,"{'lat': -6.6814912, 'lng': 106.7970599}",0
Cikalong Wetan,"{'lat': -6.7383663, 'lng': 107.4382841}",0
Cikampek,"{'lat': -6.3958742, 'lng': 107.4381106}",0
Cikangkung,"{'lat': -7.6748977, 'lng': 108.5943792}",0
Cileungsi,"{'lat': -6.4022718, 'lng': 106.9704941}",0
Cileunyi,"{'lat': -6.9316588, 'lng': 107.7419708}",0
Cililin,"{'lat': -6.9834497, 'lng': 107.4533635}",0
Cimahi,"{'lat': -6.8840816, 'lng': 107.5413039}",0
Cimaung,"{'lat': -7.0924225, 'lng': 107.5594431}",0
Cimenyan,"{'lat': -6.8739583, 'lng': 107.6589922}",0
Ciomas,"{'lat': -6.6063841, 'lng': 106.7617984}",0
Ciparay,"{'lat': -7.0401751, 'lng': 107.7132895}",0
Cipatat,"{'lat': -6.8292253, 'lng': 107.3532717}",0
Cipeundeuy,"{'lat': -6.7299868, 'lng': 107.359399}",0
Cirebon,"{'lat': -6.7320229, 'lng': 108.5523164}",0
Cisarua,"{'lat': -6.8118545, 'lng': 107.548217}",0
Cisarua,"{'lat': -6.679303, 'lng': 106.9398378}",0
Ciseeng,"{'lat': -6.4524479, 'lng': 106.6796964}",0
Citeureup,"{'lat': -6.4933318, 'lng': 106.8809319}",0
Ciwidey,"{'lat': -7.0849225, 'lng': 107.4461432}",0
Depok,"{'lat': -6.4024844, 'lng': 106.7942405}",0
Depok,"{'lat': -6.7330976, 'lng': 108.4475553}",0
Dramaga,"{'lat': -6.5842593, 'lng': 106.731048}",0
Garut,"{'lat': -7.2334901, 'lng': 107.9146687}",0
Gempol,"{'lat': -6.7053513, 'lng': 108.4174394}",0
Gunung Putri,"{'lat': -6.4288646, 'lng': 106.9240554}",0
Gunung Sindur,"{'lat': -6.395769, 'lng': 106.6880841}",0
Gunungjati,"{'lat': -6.6685343, 'lng': 108.5402151}",0
Indramayu,"{'lat': -6.3373097, 'lng': 108.3258198}",0
Jakarta,"{'lat': -6.2087634, 'lng': 106.845599}",100
Jasinga,"{'lat': -6.4660737, 'lng': 106.4536971}",86
Jatibarang,"{'lat': -6.4749823, 'lng': 108.3067382}",0
Jatiwangi,"{'lat': -6.7654544, 'lng': 108.1682147}",0
Jonggol,"{'lat': -6.4681773, 'lng': 107.055686}",0
Karangpawitan,"{'lat': -7.2131965, 'lng': 107.9487338}",0
Karangsembung,"{'lat': -6.8497713, 'lng': 108.64553}",0
Karangtengah,"{'lat': -6.8204128, 'lng': 107.1732646}",0
Karawang Barat,"{'lat': -6.3015658, 'lng': 107.2966525}",0
Karawang Timur,"{'lat': -6.3054002, 'lng': 107.3202333}",0
Katapang,"{'lat': -6.9980517, 'lng': 107.5558745}",0
Kedawung,"{'lat': -6.7191062, 'lng': 108.5329338}",0
Kelapa Nunggal,"{'lat': -6.4468869, 'lng': 106.9440326}",0
Kemang,"{'lat': -6.4972977, 'lng': 106.7416578}",0
Klangenan,"{'lat': -6.6786756, 'lng': 108.4510291}",0
Kota Bekasi,"{'lat': -6.2382699, 'lng': 106.9755726}",0
Kuningan,"{'lat': -6.9810103, 'lng': 108.4928912}",0
Lemahabang,"{'lat': -6.8327841, 'lng': 108.6116249}",0
Lembang,"{'lat': -6.8162073, 'lng': 107.6227961}",0
Leuwiliang,"{'lat': -6.5739203, 'lng': 106.6326192}",0
Leuwisadeng,"{'lat': -6.5665356, 'lng': 106.5924237}",0
Lohbener,"{'lat': -6.3999525, 'lng': 108.2829157}",0
Majalaya,"{'lat': -7.0517978, 'lng': 107.7458559}",0
Majalengka,"{'lat': -6.8364221, 'lng': 108.2274234}",0
Margaasih,"{'lat': -6.954021, 'lng': 107.5573539}",0
Megamendung,"{'lat': -6.6807469, 'lng': 106.9005964}",0
Mundu,"{'lat': -6.7750282, 'lng': 108.5849064}",0
Nagreg,"{'lat': -7.0157916, 'lng': 107.8761588}",0
Ngamprah,"{'lat': -6.8612463, 'lng': 107.5147438}",0
Pacet,"{'lat': -7.1204925, 'lng': 107.7044085}",0
Padaherang,"{'lat': -6.8031088, 'lng': 108.4017049}",0
Padalarang,"{'lat': -6.8436457, 'lng': 107.4783823}",0
Palimanan,"{'lat': -6.7051902, 'lng': 108.4323199}",0
Pameungpeuk,"{'lat': -7.0191962, 'lng': 107.5889804}",0
Parung,"{'lat': -6.4376836, 'lng': 106.7170506}",0
Parung Panjang,"{'lat': -6.3681068, 'lng': 106.5533873}",0
Pasirjambu,"{'lat': -7.0974044, 'lng': 107.482896}",0
Plered,"{'lat': -6.6965155, 'lng': 108.5017948}",0
Plumbon,"{'lat': -6.719137, 'lng': 108.4703138}",0
Purwakarta,"{'lat': -6.5406665, 'lng': 107.4462717}",0
Rancabali,"{'lat': -7.1245497, 'lng': 107.4240957}",0
Rancaekek,"{'lat': -6.9672737, 'lng': 107.7649114}",0
Rengasdengklok,"{'lat': -6.1801188, 'lng': 107.2946735}",0
Rumpin,"{'lat': -6.4434031, 'lng': 106.6309995}",0
Singaparna,"{'lat': -7.350303, 'lng': 108.1253899}",0
Solokan Jeruk,"{'lat': -7.010562, 'lng': 107.7458559}",0
Soreang,"{'lat': -7.025202, 'lng': 107.5259078}",0
Subang,"{'lat': -6.5622888, 'lng': 107.7607951}",0
Sukabumi,"{'lat': -6.9277361, 'lng': 106.9299579}",0
Sukaluyu,"{'lat': -6.8030803, 'lng': 107.2370874}",0
Sukaraja,"{'lat': -6.5370069, 'lng': 106.8276587}",0
Sumber,"{'lat': -6.7531909, 'lng': 108.4899234}",0
Sumedang Selatan,"{'lat': -6.859079, 'lng': 107.9202767}",0
Sumedang Utara,"{'lat': -6.8293742, 'lng': 107.9116474}",0
Susukanlebak,"{'lat': -6.8663665, 'lng': 108.623188}",0
Tajur Halang,"{'lat': -6.4647391, 'lng': 106.7595019}",0
Tarogong Kaler,"{'lat': -7.1841901, 'lng': 107.8864779}",0
Tasikmalaya,"{'lat': -7.3505808, 'lng': 108.2171633}",0
Telukjambe Timur,"{'lat': -6.3341381, 'lng': 107.2932069}",0
