date,demam berdarah,gejala demam berdarah,dbd
2009-12-27,52,0,26
2010-01-03,65,0,24
2010-01-10,72,0,52
2010-01-17,83,0,47
2010-01-24,78,0,26
2010-01-31,99,0,22
2010-02-07,83,22,40
2010-02-14,75,0,45
2010-02-21,55,0,56
2010-02-28,78,22,36
2010-03-07,100,0,57
2010-03-14,90,0,50
2010-03-21,87,0,59
2010-03-28,86,0,40
2010-04-04,98,0,56
2010-04-11,91,18,39
2010-04-18,81,0,30
2010-04-25,83,0,38
2010-05-02,68,0,23
2010-05-09,62,0,39
2010-05-16,61,0,41
2010-05-23,45,0,44
2010-05-30,57,0,29
2010-06-06,49,0,19
2010-06-13,60,0,34
2010-06-20,44,0,24
2010-06-27,42,0,32
2010-07-04,45,0,25
2010-07-11,51,0,27
2010-07-18,76,0,24
2010-07-25,63,0,18
2010-08-01,47,0,41
2010-08-08,72,0,22
2010-08-15,67,0,34
2010-08-22,52,0,25
2010-08-29,59,0,32
2010-09-05,24,0,0
2010-09-12,57,0,26
2010-09-19,65,0,35
2010-09-26,70,0,35
2010-10-03,56,0,38
2010-10-10,56,0,35
2010-10-17,62,0,40
2010-10-24,59,0,28
2010-10-31,80,0,25
2010-11-07,58,0,37
2010-11-14,46,0,26
2010-11-21,43,0,24
2010-11-28,63,0,33
2010-12-05,52,0,32
2010-12-12,58,0,34
2010-12-19,36,0,24
2010-12-26,40,0,20
2011-01-02,49,6,26
2011-01-09,56,0,28
2011-01-16,54,7,34
2011-01-23,43,8,28
2011-01-30,37,0,29
2011-02-06,41,11,24
2011-02-13,37,0,18
2011-02-20,40,0,23
2011-02-27,43,0,28
2011-03-06,40,5,26
2011-03-13,33,6,32
2011-03-20,37,0,32
2011-03-27,38,0,29
2011-04-03,36,0,26
2011-04-10,34,8,25
2011-04-17,29,5,22
2011-04-24,32,0,25
2011-05-01,34,0,24
2011-05-08,34,5,23
2011-05-15,29,0,16
2011-05-22,37,0,21
2011-05-29,31,0,20
2011-06-05,34,0,23
2011-06-12,32,0,24
2011-06-19,32,0,21
2011-06-26,27,0,23
2011-07-03,25,0,18
2011-07-10,22,0,20
2011-07-17,28,0,18
2011-07-24,21,5,19
2011-07-31,20,0,16
2011-08-07,25,4,16
2011-08-14,28,0,15
2011-08-21,15,0,14
2011-08-28,19,7,19
2011-09-04,29,5,15
2011-09-11,34,0,20
2011-09-18,36,5,26
2011-09-25,39,0,20
2011-10-02,43,4,21
2011-10-09,44,5,29
2011-10-16,46,4,26
2011-10-23,44,4,26
2011-10-30,38,5,27
2011-11-06,40,5,28
2011-11-13,47,7,25
2011-11-20,46,7,25
2011-11-27,41,5,34
2011-12-04,46,6,31
2011-12-11,49,8,32
2011-12-18,44,9,25
2011-12-25,46,7,27
2012-01-01,44,8,31
2012-01-08,49,9,37
2012-01-15,59,11,39
2012-01-22,45,9,34
2012-01-29,58,10,38
2012-02-05,56,12,37
2012-02-12,44,8,34
2012-02-19,57,8,34
2012-02-26,50,8,31
2012-03-04,47,7,31
2012-03-11,44,9,28
2012-03-18,53,7,26
2012-03-25,48,10,31
2012-04-01,38,4,34
2012-04-08,46,8,33
2012-04-15,39,7,26
2012-04-22,36,5,29
2012-04-29,41,8,29
2012-05-06,40,7,31
2012-05-13,39,7,30
2012-05-20,41,7,30
2012-05-27,36,5,26
2012-06-03,40,5,29
2012-06-10,34,6,27
2012-06-17,31,5,25
2012-06-24,31,6,23
2012-07-01,26,0,21
2012-07-08,29,3,17
2012-07-15,32,5,18
2012-07-22,26,4,20
2012-07-29,30,5,17
2012-08-05,32,5,17
2012-08-12,24,0,11
2012-08-19,22,4,15
2012-08-26,30,0,16
2012-09-02,33,4,19
