geoName,geoCode,demam berdarah
Aceh,ID-AC,30
Bali,ID-BA,73
Banten,ID-BT,55
Bengkulu,ID-BE,52
Daerah Istimewa Yogyakarta,ID-YO,60
Daerah Khusus Ibukota Jakarta,ID-JK,50
Gorontalo,ID-GO,52
Jambi,ID-JA,39
Jawa Barat,ID-JB,48
Jawa Tengah,ID-JT,79
Jawa Timur,ID-JI,100
Kalimantan Barat,ID-KB,55
Kalimantan Selatan,ID-KS,56
Kalimantan Tengah,ID-KT,48
Kalimantan Timur,ID-KI,60
Kalimantan Utara,ID-KU,60
Kepulauan Bangka Belitung,ID-BB,68
Kepulauan Riau,ID-KR,47
Lampung,ID-LA,44
Maluku,ID-MA,40
Maluku Utara,ID-MU,46
Nusa Tenggara Barat,ID-NB,47
Nusa Tenggara Timur,ID-NT,60
Papua,ID-PA,48
Papua Barat,ID-PB,40
Riau,ID-RI,42
Sulawesi Barat,ID-SR,58
Sulawesi Selatan,ID-SN,59
Sulawesi Tengah,ID-ST,48
Sulawesi Tenggara,ID-SG,59
Sulawesi Utara,ID-SA,85
Sumatera Barat,ID-SB,40
Sumatera Selatan,ID-SS,50
Sumatera Utara,ID-SU,52
