tanggal,suhu_avg_c,curah_hujan_mm,kelembaban_pct,kecamatan
2016-01-01,22.92,33.42,88.27,ARCAMANIK
2016-01-02,22.27,34.0,92.01,ARCAMANIK
2016-01-03,22.58,16.52,90.89,ARCAMANIK
2016-01-04,22.21,3.34,93.88,ARCAMANIK
2016-01-05,22.59,22.99,90.94,ARCAMANIK
2016-01-06,23.66,6.05,83.07,ARCAMANIK
2016-01-07,22.54,0.08,85.01,ARCAMANIK
2016-01-08,22.99,0.52,83.86,ARCAMANIK
2016-01-09,23.66,4.9,85.61,ARCAMANIK
2016-01-10,22.73,12.49,88.56,ARCAMANIK
2016-01-11,23.37,7.0,85.73,ARCAMANIK
2016-01-12,22.57,30.98,89.52,ARCAMANIK
2016-01-13,23.15,21.18,86.81,ARCAMANIK
2016-01-14,22.89,8.08,90.65,ARCAMANIK
2016-01-15,21.7,8.09,92.36,ARCAMANIK
2016-01-16,22.56,0.33,81.52,ARCAMANIK
2016-01-17,23.46,7.65,86.71,ARCAMANIK
2016-01-18,22.54,16.97,91.38,ARCAMANIK
2016-01-19,22.25,39.57,92.36,ARCAMANIK
2016-01-20,21.92,41.54,91.42,ARCAMANIK
2016-01-21,21.8,0.84,90.04,ARCAMANIK
2016-01-22,22.54,8.16,90.18,ARCAMANIK
2016-01-23,20.81,15.69,92.72,ARCAMANIK
2016-01-24,20.77,21.92,90.9,ARCAMANIK
2016-01-25,21.05,3.85,89.97,ARCAMANIK
2016-01-26,21.9,1.81,87.44,ARCAMANIK
2016-01-27,22.01,4.44,81.91,ARCAMANIK
2016-01-28,23.01,1.06,84.92,ARCAMANIK
2016-01-29,23.16,5.24,86.41,ARCAMANIK
2016-01-30,22.16,3.06,90.42,ARCAMANIK
2016-01-31,21.7,14.84,89.44,ARCAMANIK
2016-02-01,22.46,29.73,91.53,ARCAMANIK
2016-02-02,21.35,31.35,93.11,ARCAMANIK
2016-02-03,20.88,2.98,90.23,ARCAMANIK
2016-02-04,21.99,9.26,90.23,ARCAMANIK
2016-02-05,22.04,11.38,89.37,ARCAMANIK
2016-02-06,22.64,8.25,89.33,ARCAMANIK
2016-02-07,22.76,20.86,90.15,ARCAMANIK
2016-02-08,22.29,24.32,90.79,ARCAMANIK
2016-02-09,22.36,20.09,91.46,ARCAMANIK
2016-02-10,22.08,25.42,91.82,ARCAMANIK
2016-02-11,21.18,8.08,95.56,ARCAMANIK
2016-02-12,21.14,16.56,92.31,ARCAMANIK
2016-02-13,21.92,8.44,90.6,ARCAMANIK
2016-02-14,21.93,3.26,90.76,ARCAMANIK
2016-02-15,22.04,1.26,89.17,ARCAMANIK
2016-02-16,22.08,16.79,90.44,ARCAMANIK
2016-02-17,22.24,8.06,90.01,ARCAMANIK
2016-02-18,22.73,3.51,88.35,ARCAMANIK
2016-02-19,23.39,1.31,83.87,ARCAMANIK
2016-02-20,22.21,20.2,92.1,ARCAMANIK
2016-02-21,22.08,19.29,90.56,ARCAMANIK
2016-02-22,23.28,18.09,85.38,ARCAMANIK
2016-02-23,21.44,24.11,90.47,ARCAMANIK
2016-02-24,22.02,27.26,92.21,ARCAMANIK
2016-02-25,21.1,32.84,95.06,ARCAMANIK
2016-02-26,22.48,10.88,91.67,ARCAMANIK
2016-02-27,20.7,26.98,94.57,ARCAMANIK
2016-02-28,22.04,8.67,92.27,ARCAMANIK
2016-02-29,21.21,29.72,93.17,ARCAMANIK
2016-03-01,20.6,13.77,93.47,ARCAMANIK
2016-03-02,21.74,10.14,93.06,ARCAMANIK
2016-03-03,22.95,11.91,91.53,ARCAMANIK
2016-03-04,22.36,21.53,91.86,ARCAMANIK
2016-03-05,22.79,8.57,91.15,ARCAMANIK
2016-03-06,23.18,14.28,88.95,ARCAMANIK
2016-03-07,22.61,38.42,93.92,ARCAMANIK
2016-03-08,23.02,15.15,92.3,ARCAMANIK
2016-03-09,23.29,20.6,90.1,ARCAMANIK
2016-03-10,23.7,13.35,87.89,ARCAMANIK
2016-03-11,22.94,19.35,90.86,ARCAMANIK
2016-03-12,23.71,17.75,87.88,ARCAMANIK
2016-03-13,23.08,8.62,91.25,ARCAMANIK
2016-03-14,23.33,15.35,86.92,ARCAMANIK
2016-03-15,22.62,28.69,85.05,ARCAMANIK
2016-03-16,23.18,8.11,88.98,ARCAMANIK
2016-03-17,22.71,16.65,91.38,ARCAMANIK
2016-03-18,22.43,0.65,91.39,ARCAMANIK
2016-03-19,23.64,12.45,89.38,ARCAMANIK
2016-03-20,22.67,4.92,95.37,ARCAMANIK
2016-03-21,22.88,38.38,90.99,ARCAMANIK
2016-03-22,22.61,39.84,93.34,ARCAMANIK
2016-03-23,21.51,5.64,95.05,ARCAMANIK
2016-03-24,23.1,1.49,87.38,ARCAMANIK
2016-03-25,22.91,14.83,89.64,ARCAMANIK
2016-03-26,21.93,14.42,91.68,ARCAMANIK
2016-03-27,22.95,9.02,90.38,ARCAMANIK
2016-03-28,23.05,17.43,90.56,ARCAMANIK
2016-03-29,22.45,24.17,89.32,ARCAMANIK
2016-03-30,22.21,3.79,92.78,ARCAMANIK
2016-03-31,22.8,7.83,90.25,ARCAMANIK
2016-04-01,22.8,17.55,89.01,ARCAMANIK
2016-04-02,22.4,23.16,91.13,ARCAMANIK
2016-04-03,22.59,4.92,89.8,ARCAMANIK
2016-04-04,22.73,8.58,89.5,ARCAMANIK
2016-04-05,22.56,29.09,92.59,ARCAMANIK
2016-04-06,21.93,8.31,92.05,ARCAMANIK
2016-04-07,22.69,6.35,88.69,ARCAMANIK
2016-04-08,23.44,20.6,86.93,ARCAMANIK
2016-04-09,22.34,58.37,95.02,ARCAMANIK
2016-04-10,22.91,35.97,91.19,ARCAMANIK
2016-04-11,23.31,34.9,90.62,ARCAMANIK
2016-04-12,22.9,7.38,91.95,ARCAMANIK
2016-04-13,21.4,3.29,95.47,ARCAMANIK
2016-04-14,22.17,2.97,91.13,ARCAMANIK
2016-04-15,22.03,0.72,90.36,ARCAMANIK
2016-04-16,22.42,1.5,93.59,ARCAMANIK
2016-04-17,22.66,24.48,91.68,ARCAMANIK
2016-04-18,23.74,7.0,84.9,ARCAMANIK
2016-04-19,23.25,18.63,91.27,ARCAMANIK
2016-04-20,22.57,27.33,91.66,ARCAMANIK
2016-04-21,21.86,28.49,90.37,ARCAMANIK
2016-04-22,22.38,2.46,90.36,ARCAMANIK
2016-04-23,22.31,4.43,92.96,ARCAMANIK
2016-04-24,21.75,3.18,92.56,ARCAMANIK
