id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,puskesmas,jenis_kelamin,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KAWALU,LAKI-LAKI,34,ORANG,2020
2,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KAWALU,PEREMPUAN,44,ORANG,2020
3,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KARANGANYAR,LAKI-LAKI,40,ORANG,2020
4,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KARANGANYAR,PEREMPUAN,35,ORANG,2020
5,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,URUG,LAKI-LAKI,29,ORANG,2020
6,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,URUG,PEREMPUAN,32,ORANG,2020
7,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,TAMANSARI,LAKI-LAKI,26,ORANG,2020
8,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,TAMANSARI,PEREMPUAN,35,ORANG,2020
9,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,SANGKALI,LAKI-LAKI,37,ORANG,2020
10,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,SANGKALI,PEREMPUAN,41,ORANG,2020
11,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,CIBEUREUM,LAKI-LAKI,44,ORANG,2020
12,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,CIBEUREUM,PEREMPUAN,49,ORANG,2020
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,PURBARATU,LAKI-LAKI,39,ORANG,2020
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,PURBARATU,PEREMPUAN,31,ORANG,2020
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,TAWANG,LAKI-LAKI,26,ORANG,2020
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,TAWANG,PEREMPUAN,26,ORANG,2020
17,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,KAHURIPAN,LAKI-LAKI,37,ORANG,2020
18,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,KAHURIPAN,PEREMPUAN,50,ORANG,2020
19,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CIHIDEUNG,LAKI-LAKI,58,ORANG,2020
20,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CIHIDEUNG,PEREMPUAN,38,ORANG,2020
21,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CILEMBANG,LAKI-LAKI,26,ORANG,2020
22,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CILEMBANG,PEREMPUAN,27,ORANG,2020
23,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,MANGKUBUMI,LAKI-LAKI,48,ORANG,2020
24,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,MANGKUBUMI,PEREMPUAN,46,ORANG,2020
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,SAMBONGPARI,LAKI-LAKI,65,ORANG,2020
